Varenavn,Årsforbrug,Pris,Ordreomkostning,Rentesats
Møbler Edition Pro #1580,58,1037,341,4.6
Møbler Edition Plus #1581,163,2053,514,6.1
Møbler Edition Premium #1582,97,1115,305,7.0
Møbler Edition Standard #1583,72,3348,652,4.3
Møbler Edition Basic #1584,219,3401,693,6.9
Møbler Edition Deluxe #1585,34,5658,1039,4.7
Møbler Edition Ultra #1586,73,1156,223,7.0
Møbler Edition Max #1587,85,3840,654,3.6
Møbler Edition Compact #1588,80,1952,588,7.4
Møbler Edition Mini #1589,38,2205,528,5.8
Møbler Edition XL #1590,119,1477,295,4.0
Møbler Edition S #1591,226,2769,628,7.3
Møbler Edition M #1592,135,4914,850,3.7
Møbler Edition L #1593,104,2153,581,4.3
Møbler Edition XL #1594,76,2412,611,6.9
Møbler Edition XXL #1595,40,3151,627,6.9
Møbler Edition V1 #1596,78,2395,479,4.8
Møbler Edition V2 #1597,171,5593,1077,4.0
Møbler Edition V3 #1598,91,5315,972,4.1
Møbler Edition MK2 #1599,51,1712,520,7.2
Møbler Edition MK3 #1600,158,2921,558,7.3
Møbler Edition Gen2 #1601,121,2400,530,4.0
Møbler Edition Gen3 #1602,163,1866,474,7.0
Møbler Edition Sort #1603,155,2391,630,6.1
Møbler Edition Hvid #1604,101,2000,598,4.7
Møbler Edition Blå #1605,114,5902,1002,5.6
Møbler Edition Rød #1606,105,5470,1098,6.8
Møbler Edition Grøn #1607,163,1290,288,4.7
Møbler Edition Grå #1608,233,3209,611,5.1
Møbler Classic Pro #1609,120,5363,892,6.3
Møbler Classic Plus #1610,161,5349,942,5.1
Møbler Classic Premium #1611,48,4631,961,6.4
Møbler Classic Standard #1612,236,4154,746,7.1
Møbler Classic Basic #1613,249,5453,1084,5.0
Møbler Classic Deluxe #1614,205,1462,413,7.1
Møbler Classic Ultra #1615,91,1146,256,6.1
Møbler Classic Max #1616,124,1702,521,4.6
Møbler Classic Compact #1617,111,1699,531,3.9
Møbler Classic Mini #1618,163,3365,805,4.0
Møbler Classic XL #1619,194,3505,595,6.9
Møbler Classic S #1620,222,5181,972,6.8
Møbler Classic M #1621,184,4526,736,6.2
Møbler Classic L #1622,145,2680,568,4.3
Møbler Classic XL #1623,109,3482,709,3.8
Møbler Classic XXL #1624,79,2780,716,7.0
Møbler Classic V1 #1625,167,1528,309,4.1
Møbler Classic V2 #1626,205,5439,868,4.8
Møbler Classic V3 #1627,65,1464,423,6.1
Møbler Classic MK2 #1628,87,4034,887,6.7
Møbler Classic MK3 #1629,99,3918,832,5.6
Møbler Classic Gen2 #1630,86,3046,553,5.7
Møbler Classic Gen3 #1631,141,2292,602,7.3
Møbler Classic Sort #1632,36,1658,475,4.7
Møbler Classic Hvid #1633,174,4450,958,6.9
Møbler Classic Blå #1634,193,3563,799,3.8
Møbler Classic Rød #1635,104,5505,1032,6.2
Møbler Classic Grøn #1636,74,5315,941,6.4
Møbler Classic Grå #1637,117,1678,462,7.1
Møbler Modern Pro #1638,116,1360,353,6.2
Møbler Modern Plus #1639,238,4261,726,3.9
Møbler Modern Premium #1640,144,1106,233,4.6
Møbler Modern Standard #1641,56,2180,556,7.2
Møbler Modern Basic #1642,228,1255,311,5.0
Møbler Modern Deluxe #1643,236,1195,455,5.0
Møbler Modern Ultra #1644,167,1869,331,4.4
Møbler Modern Max #1645,56,3306,750,6.6
Møbler Modern Compact #1646,173,5456,937,3.8
Møbler Modern Mini #1647,154,4383,846,6.7
Møbler Modern XL #1648,69,4924,813,5.7
Møbler Modern S #1649,92,2302,619,6.0
Møbler Modern M #1650,50,1993,409,6.1
Møbler Modern L #1651,192,4347,729,4.0
Møbler Modern XL #1652,60,4878,1013,3.6
Møbler Modern XXL #1653,85,2122,397,7.1
Møbler Modern V1 #1654,223,5382,973,5.6
Møbler Modern V2 #1655,91,1204,331,6.7
Møbler Modern V3 #1656,218,5858,1150,5.4
Møbler Modern MK2 #1657,136,3629,781,5.4
Møbler Modern MK3 #1658,154,4655,991,6.4
Møbler Modern Gen2 #1659,180,4258,760,5.7
Møbler Modern Gen3 #1660,80,2005,388,6.1
Møbler Modern Sort #1661,217,4932,1023,5.7
Møbler Modern Hvid #1662,38,1041,366,4.5
Møbler Modern Blå #1663,164,3007,727,4.4
Møbler Modern Rød #1664,54,4893,819,5.2
Møbler Modern Grøn #1665,47,4044,677,6.5
Møbler Modern Grå #1666,235,3007,584,7.0
Møbler Industri Pro #1667,213,3639,671,6.5
Møbler Industri Plus #1668,221,2857,591,4.0
Møbler Industri Premium #1669,231,1975,566,3.5
Møbler Industri Standard #1670,158,3072,646,6.5
Møbler Industri Basic #1671,64,3391,746,4.5
Møbler Industri Deluxe #1672,87,3831,806,7.5
Møbler Industri Ultra #1673,189,1024,325,5.0
Møbler Industri Max #1674,216,5848,960,4.6
Møbler Industri Compact #1675,142,3654,618,4.1
Møbler Industri Mini #1676,102,5262,966,7.1
Møbler Industri XL #1677,196,4840,987,5.6
Møbler Industri S #1678,164,1027,223,3.8
Møbler Industri M #1679,233,5090,1058,4.2
Møbler Industri L #1680,79,2991,707,6.4
Møbler Industri XL #1681,75,2769,576,5.2
Møbler Industri XXL #1682,150,4599,804,6.8
Møbler Industri V1 #1683,135,2526,648,6.9
Møbler Industri V2 #1684,227,5040,954,5.2
Møbler Industri V3 #1685,222,5189,962,4.6
Møbler Industri MK2 #1686,196,1742,435,5.2
Møbler Industri MK3 #1687,44,1794,388,7.3
Møbler Industri Gen2 #1688,78,5450,948,6.8
Møbler Industri Gen3 #1689,234,5008,846,5.1
Møbler Industri Sort #1690,48,5541,907,3.8
Møbler Industri Hvid #1691,88,5033,812,5.4
Møbler Industri Blå #1692,238,1306,291,5.3
Møbler Industri Rød #1693,218,1467,467,6.3
Møbler Industri Grøn #1694,126,3383,799,4.9
Møbler Industri Grå #1695,169,5956,1110,6.1
Møbler Professionel Pro #1696,88,1959,356,7.0
Møbler Professionel Plus #1697,35,2844,710,6.3
Møbler Professionel Premium #1698,100,4658,949,7.2
Møbler Professionel Standard #1699,146,4712,858,3.5
Møbler Professionel Basic #1700,202,1639,528,5.5
Møbler Professionel Deluxe #1701,161,4315,902,6.4
Møbler Professionel Ultra #1702,113,1118,467,5.7
Møbler Professionel Max #1703,126,3813,716,5.4
Møbler Professionel Compact #1704,176,2446,477,4.5
Møbler Professionel Mini #1705,96,2310,522,4.3
Møbler Professionel XL #1706,87,2183,526,7.0
Møbler Professionel S #1707,94,1291,258,7.0
Møbler Professionel M #1708,171,1731,402,6.6
Møbler Professionel L #1709,211,1702,323,3.8
Møbler Professionel XL #1710,61,5777,986,3.8
Møbler Professionel XXL #1711,149,1713,548,5.5
Møbler Professionel V1 #1712,98,5789,1030,4.9
Møbler Professionel V2 #1713,57,2454,552,4.4
Møbler Professionel V3 #1714,229,2627,592,4.0
Møbler Professionel MK2 #1715,238,5000,821,4.6
Møbler Professionel MK3 #1716,33,5712,1153,4.0
Møbler Professionel Gen2 #1717,104,3962,706,4.8
Møbler Professionel Gen3 #1718,201,5666,1098,5.0
Møbler Professionel Sort #1719,203,1534,344,4.5
Møbler Professionel Hvid #1720,36,2471,448,6.2
Møbler Professionel Blå #1721,104,2067,527,3.7
Møbler Professionel Rød #1722,110,5726,1152,7.4
Møbler Professionel Grøn #1723,149,4872,782,7.4
Møbler Professionel Grå #1724,174,3398,584,4.4
Møbler Commercial Pro #1725,117,2552,469,6.7
Møbler Commercial Plus #1726,97,3904,646,5.6
Møbler Commercial Premium #1727,183,2476,634,6.1
Møbler Commercial Standard #1728,64,3942,882,3.8
Møbler Commercial Basic #1729,76,3244,652,4.4
Møbler Commercial Deluxe #1730,84,2818,600,3.5
Møbler Commercial Ultra #1731,188,4353,799,5.2
Møbler Commercial Max #1732,165,3307,776,7.2
Møbler Commercial Compact #1733,113,2082,592,4.8
Møbler Commercial Mini #1734,112,4755,912,6.0
Møbler Commercial XL #1735,199,1117,429,6.0
Møbler Commercial S #1736,225,3669,687,3.7
Møbler Commercial M #1737,105,1637,427,6.7
Møbler Commercial L #1738,161,3161,684,6.1
Møbler Commercial XL #1739,132,4024,692,3.7
Møbler Commercial XXL #1740,100,1640,491,3.5
Møbler Commercial V1 #1741,73,1953,447,4.4
Møbler Commercial V2 #1742,248,5434,933,4.1
Møbler Commercial V3 #1743,112,5529,916,6.4
Møbler Commercial MK2 #1744,67,4197,732,5.0
Møbler Commercial MK3 #1745,121,4335,771,6.3
Møbler Commercial Gen2 #1746,106,2480,478,5.0
Møbler Commercial Gen3 #1747,218,2801,533,4.4
Møbler Commercial Sort #1748,117,3818,837,7.2
Møbler Commercial Hvid #1749,160,2688,642,6.6
Møbler Commercial Blå #1750,76,2516,652,7.2
Møbler Commercial Rød #1751,52,5933,1134,5.2
Møbler Commercial Grøn #1752,240,3462,712,4.9
Møbler Commercial Grå #1753,59,1173,241,6.3
Møbler Model A Pro #1754,204,2234,609,3.9
Møbler Model A Plus #1755,245,5183,983,5.0
Møbler Model A Premium #1756,55,5261,921,6.5
Møbler Model A Standard #1757,70,1788,473,4.1
Møbler Model A Basic #1758,72,1093,235,5.7
Møbler Model A Deluxe #1759,72,5237,983,4.9
Møbler Model A Ultra #1760,41,1197,380,4.8
Møbler Model A Max #1761,172,5344,1092,6.9
Møbler Model A Compact #1762,180,3896,786,4.6
Møbler Model A Mini #1763,194,4264,802,5.6
Møbler Model A XL #1764,169,3906,684,4.9
Møbler Model A S #1765,181,4457,897,7.4
Møbler Model A M #1766,246,4518,899,7.4
Møbler Model A L #1767,53,4247,896,7.1
Møbler Model A XL #1768,96,3498,754,7.0
Møbler Model A XXL #1769,43,2426,555,5.1
Møbler Model A V1 #1770,57,4649,807,3.9
Møbler Model A V2 #1771,149,3329,745,4.4
Møbler Model A V3 #1772,216,5537,1084,4.2
Møbler Model A MK2 #1773,74,2165,559,6.4
Møbler Model A MK3 #1774,180,5650,900,4.8
Møbler Model A Gen2 #1775,205,3815,719,7.4
Møbler Model A Gen3 #1776,50,1663,386,3.7
Møbler Model A Sort #1777,143,2770,472,7.2
Møbler Model A Hvid #1778,114,5897,1112,7.0
Møbler Model A Blå #1779,212,1836,459,5.4
Møbler Model A Rød #1780,181,5788,952,6.9
Møbler Model A Grøn #1781,65,2370,584,6.6
Møbler Model A Grå #1782,108,1535,284,6.0
Møbler Model B Pro #1783,35,4955,1036,6.3
Møbler Model B Plus #1784,91,4065,778,3.9
Møbler Model B Premium #1785,100,3991,725,4.6
Møbler Model B Standard #1786,194,2263,499,5.6
Møbler Model B Basic #1787,89,1966,507,7.0
Møbler Model B Deluxe #1788,170,4567,864,4.9
Møbler Model B Ultra #1789,228,2331,591,4.6
Møbler Model B Max #1790,234,1844,334,5.0
Møbler Model B Compact #1791,238,2504,608,3.6
Møbler Model B Mini #1792,206,4360,793,6.4
Møbler Model B XL #1793,248,1170,374,4.4
Møbler Model B S #1794,80,5851,1038,5.0
Møbler Model B M #1795,145,5897,1182,7.1
Møbler Model B L #1796,95,4192,733,4.4
Møbler Model B XL #1797,135,3947,644,6.4
Møbler Model B XXL #1798,62,5609,941,5.0
Møbler Model B V1 #1799,229,5830,992,6.7
Møbler Model B V2 #1800,187,5547,950,5.3
Møbler Model B V3 #1801,250,2845,502,6.3
Møbler Model B MK2 #1802,180,2757,656,6.0
Møbler Model B MK3 #1803,236,4387,843,4.4
Møbler Model B Gen2 #1804,116,2216,412,5.9
Møbler Model B Gen3 #1805,137,2130,586,6.5
Møbler Model B Sort #1806,112,1742,348,7.4
Møbler Model B Hvid #1807,128,5366,907,5.8
Møbler Model B Blå #1808,106,5805,936,6.9
Møbler Model B Rød #1809,240,4431,867,6.5
Møbler Model B Grøn #1810,208,5542,981,4.0
Møbler Model B Grå #1811,150,3911,870,3.6
Møbler Model C Pro #1812,159,3446,581,6.3
Møbler Model C Plus #1813,118,1530,448,4.3
Møbler Model C Premium #1814,194,1866,550,6.5
Møbler Model C Standard #1815,202,1055,412,5.7
Møbler Model C Basic #1816,122,3983,729,6.4
Møbler Model C Deluxe #1817,219,5767,1097,7.2
Møbler Model C Ultra #1818,112,4360,924,4.9
Møbler Model C Max #1819,64,3685,702,6.8
Møbler Model C Compact #1820,69,1056,323,6.3
Møbler Model C Mini #1821,227,5604,975,7.1
Møbler Model C XL #1822,136,5054,972,6.7
Møbler Model C S #1823,232,4295,870,6.5
Møbler Model C M #1824,193,3591,719,4.6
Møbler Model C L #1825,84,1314,271,6.6
Møbler Model C XL #1826,108,2420,584,4.2
Møbler Model C XXL #1827,110,3759,761,4.1
Møbler Model C V1 #1828,113,1990,460,5.8
Møbler Model C V2 #1829,41,4974,871,6.0
Møbler Model C V3 #1830,106,1384,396,5.9
Møbler Model C MK2 #1831,167,1000,333,4.2
Møbler Model C MK3 #1832,127,1569,395,6.6
Møbler Model C Gen2 #1833,157,4482,785,6.9
Møbler Model C Gen3 #1834,54,5404,1099,5.9
Møbler Model C Sort #1835,139,5162,907,3.8
Møbler Model C Hvid #1836,128,4534,845,5.7
Møbler Model C Blå #1837,239,4819,786,4.1
Møbler Model C Rød #1838,64,2716,544,3.7
Møbler Model C Grøn #1839,154,1379,299,7.2
Møbler Model C Grå #1840,205,5256,850,4.6
Møbler Type 1 Pro #1841,195,4691,846,6.0
Møbler Type 1 Plus #1842,31,1557,399,6.5
Møbler Type 1 Premium #1843,194,3859,698,6.6
Møbler Type 1 Standard #1844,170,5345,948,7.0
Møbler Type 1 Basic #1845,218,1675,522,6.1
Møbler Type 1 Deluxe #1846,73,4185,739,4.3
Møbler Type 1 Ultra #1847,204,5367,902,7.3
Møbler Type 1 Max #1848,166,3662,748,4.7
Møbler Type 1 Compact #1849,235,2861,632,3.7
Møbler Type 1 Mini #1850,108,5093,1064,5.4
Møbler Type 1 XL #1851,227,1017,416,4.3
Møbler Type 1 S #1852,119,5897,1008,5.4
Møbler Type 1 M #1853,141,3187,707,5.5
Møbler Type 1 L #1854,242,3037,634,5.6
Møbler Type 1 XL #1855,179,1647,394,4.3
Møbler Type 1 XXL #1856,138,3076,649,4.2
Møbler Type 1 V1 #1857,56,2601,520,7.1
Møbler Type 1 V2 #1858,122,5601,1002,5.4
Møbler Type 1 V3 #1859,94,4791,878,5.6
Møbler Type 1 MK2 #1860,140,3706,724,6.9
Møbler Type 1 MK3 #1861,95,3680,789,6.5
Møbler Type 1 Gen2 #1862,159,3530,590,7.0
Møbler Type 1 Gen3 #1863,61,4379,726,5.0
Møbler Type 1 Sort #1864,82,5100,981,4.8
Møbler Type 1 Hvid #1865,209,1794,440,4.4
Møbler Type 1 Blå #1866,197,4569,900,5.4
Møbler Type 1 Rød #1867,136,4756,962,6.2
Møbler Type 1 Grøn #1868,231,3227,651,5.9
Møbler Type 1 Grå #1869,149,3587,805,6.9
Møbler Type 2 Pro #1870,30,3362,603,7.4
Møbler Type 2 Plus #1871,45,3938,731,4.4
Møbler Type 2 Premium #1872,149,4059,769,6.3
Møbler Type 2 Standard #1873,218,5975,1007,5.8
Møbler Type 2 Basic #1874,199,2117,488,7.2
Møbler Type 2 Deluxe #1875,191,2916,537,6.7
Møbler Type 2 Ultra #1876,131,1302,307,5.6
Møbler Type 2 Max #1877,118,2685,588,5.5
Møbler Type 2 Compact #1878,127,2943,543,5.0
Møbler Type 2 Mini #1879,81,2504,584,7.5
Møbler Type 2 XL #1880,177,5306,879,4.3
Møbler Type 2 S #1881,136,1342,344,7.2
Møbler Type 2 M #1882,211,4676,888,4.6
Møbler Type 2 L #1883,165,3561,734,3.8
Møbler Type 2 XL #1884,124,4563,877,6.1
Møbler Type 2 XXL #1885,49,3694,650,6.1
Møbler Type 2 V1 #1886,209,2348,429,4.1
Møbler Type 2 V2 #1887,70,4244,802,7.1
Møbler Type 2 V3 #1888,114,3206,740,3.8
Møbler Type 2 MK2 #1889,69,5951,1154,5.0
Møbler Type 2 MK3 #1890,96,4668,842,7.3
Møbler Type 2 Gen2 #1891,213,3115,664,7.4
Møbler Type 2 Gen3 #1892,160,1654,425,3.8
Møbler Type 2 Sort #1893,239,2552,449,5.8
Møbler Type 2 Hvid #1894,131,3323,797,5.4
Møbler Type 2 Blå #1895,109,2482,502,4.3
Møbler Type 2 Rød #1896,84,2937,631,6.4
Møbler Type 2 Grøn #1897,166,5109,936,6.9
Møbler Type 2 Grå #1898,157,2326,416,4.5
Møbler Serie 100 Pro #1899,186,2497,557,5.0
Møbler Serie 100 Plus #1900,166,5241,874,7.3
Møbler Serie 100 Premium #1901,131,4854,864,6.8
Møbler Serie 100 Standard #1902,42,3574,789,4.3
Møbler Serie 100 Basic #1903,225,2266,598,6.6
Møbler Serie 100 Deluxe #1904,135,5504,882,3.8
Møbler Serie 100 Ultra #1905,193,1822,336,4.8
Møbler Serie 100 Max #1906,90,5085,831,6.6
Møbler Serie 100 Compact #1907,186,4000,779,5.0
Møbler Serie 100 Mini #1908,123,2561,634,4.2
Møbler Serie 100 XL #1909,193,1194,321,5.5
Møbler Serie 100 S #1910,170,1631,531,3.6
Møbler Serie 100 M #1911,85,5673,943,5.4
Møbler Serie 100 L #1912,69,4255,750,4.4
Møbler Serie 100 XL #1913,155,2921,575,6.2
Møbler Serie 100 XXL #1914,60,2518,506,3.8
Møbler Serie 100 V1 #1915,96,4163,841,4.1
Møbler Serie 100 V2 #1916,32,4727,939,4.8
Møbler Serie 100 V3 #1917,232,2293,644,6.7
Møbler Serie 100 MK2 #1918,96,4220,907,4.5
Møbler Serie 100 MK3 #1919,98,5708,1019,3.7
Møbler Serie 100 Gen2 #1920,176,4966,909,4.7
Møbler Serie 100 Gen3 #1921,79,3166,631,4.2
Møbler Serie 100 Sort #1922,62,3957,792,6.4
Møbler Serie 100 Hvid #1923,94,5556,915,3.9
Møbler Serie 100 Blå #1924,112,4404,861,7.1
Møbler Serie 100 Rød #1925,70,3561,730,5.8
Møbler Serie 100 Grøn #1926,77,4480,791,4.1
Møbler Serie 100 Grå #1927,166,1383,472,4.3
Møbler Serie 200 Pro #1928,168,4995,887,6.8
Møbler Serie 200 Plus #1929,68,5439,999,4.1
Møbler Serie 200 Premium #1930,39,2087,449,6.7
Møbler Serie 200 Standard #1931,185,1728,452,5.1
Møbler Serie 200 Basic #1932,214,5992,991,4.9
Møbler Serie 200 Deluxe #1933,150,4780,862,7.0
Møbler Serie 200 Ultra #1934,102,2714,571,5.5
Møbler Serie 200 Max #1935,106,1282,389,7.0
Møbler Serie 200 Compact #1936,206,4413,908,7.4
Møbler Serie 200 Mini #1937,149,5541,915,5.6
Møbler Serie 200 XL #1938,104,3048,705,7.4
Møbler Serie 200 S #1939,53,1220,367,5.5
Møbler Serie 200 M #1940,236,5195,990,6.2
Møbler Serie 200 L #1941,199,2811,641,6.4
Møbler Serie 200 XL #1942,128,1652,476,3.7
Møbler Serie 200 XXL #1943,161,2231,521,4.8
Møbler Serie 200 V1 #1944,113,5127,944,5.1
Møbler Serie 200 V2 #1945,174,4554,970,4.0
Møbler Serie 200 V3 #1946,184,5372,1082,4.2
Møbler Serie 200 MK2 #1947,94,4991,1000,7.2
Møbler Serie 200 MK3 #1948,172,4641,888,4.3
Møbler Serie 200 Gen2 #1949,73,2576,532,5.3
Møbler Serie 200 Gen3 #1950,178,5266,882,6.3
Møbler Serie 200 Sort #1951,151,5371,1051,3.8
Møbler Serie 200 Hvid #1952,60,5572,887,7.4
Møbler Serie 200 Blå #1953,225,5474,1121,7.3
Møbler Serie 200 Rød #1954,157,1246,410,3.5
Møbler Serie 200 Grøn #1955,243,1740,531,7.2
Møbler Serie 200 Grå #1956,124,2843,549,6.5
Møbler Edition Pro #1957,226,4890,962,6.6
Møbler Edition Plus #1958,40,4312,889,6.9
Møbler Edition Premium #1959,38,4538,923,4.3
Møbler Edition Standard #1960,175,5400,918,5.4
Møbler Edition Basic #1961,57,5274,912,4.3
Møbler Edition Deluxe #1962,92,1720,375,6.2
Møbler Edition Ultra #1963,222,5275,869,5.5
Møbler Edition Max #1964,149,4675,948,6.9
Møbler Edition Compact #1965,44,4711,905,4.9
Møbler Edition Mini #1966,119,1036,435,5.2
Møbler Edition XL #1967,49,2875,690,4.9
Møbler Edition S #1968,164,1138,329,7.2
Møbler Edition M #1969,109,3580,805,6.0
Møbler Edition L #1970,148,5677,1064,6.7
Møbler Edition XL #1971,100,1393,276,6.8
Møbler Edition XXL #1972,40,4123,740,4.0
Møbler Edition V1 #1973,159,5066,908,3.5
Møbler Edition V2 #1974,235,3896,758,5.8
Møbler Edition V3 #1975,145,1111,406,6.7
Møbler Edition MK2 #1976,231,1597,439,4.2
Møbler Edition MK3 #1977,97,2857,516,5.1
Møbler Edition Gen2 #1978,127,5342,1084,4.9
Møbler Edition Gen3 #1979,205,1825,535,6.7
Møbler Edition Sort #1980,164,5012,1021,6.9
Møbler Edition Hvid #1981,250,2496,551,6.6
Møbler Edition Blå #1982,197,1313,462,5.7
Møbler Edition Rød #1983,97,2771,686,4.1
Møbler Edition Grøn #1984,168,3859,845,5.0
Møbler Edition Grå #1985,201,4182,822,7.2
Møbler Classic Pro #1986,244,1927,502,6.2
Møbler Classic Plus #1987,156,5654,914,7.2
Møbler Classic Premium #1988,245,2730,608,4.1
Møbler Classic Standard #1989,98,3422,633,6.8
Møbler Classic Basic #1990,32,5290,1088,3.5
Møbler Classic Deluxe #1991,107,5893,1009,5.0
Møbler Classic Ultra #1992,47,2684,522,7.4
Møbler Classic Max #1993,47,1081,329,4.3
Møbler Classic Compact #1994,215,2522,638,4.8
Møbler Classic Mini #1995,173,5434,925,7.0
Møbler Classic XL #1996,179,1791,567,6.9
Møbler Classic S #1997,148,3865,828,5.6
Møbler Classic M #1998,208,2472,524,4.4
Møbler Classic L #1999,190,1643,411,6.8
IT-Udstyr Model A Pro #1000,646,1263,422,7.3
IT-Udstyr Model A Plus #1001,246,3309,714,7.1
IT-Udstyr Model A Premium #1002,585,1670,396,3.7
IT-Udstyr Model A Standard #1003,564,2455,627,4.8
IT-Udstyr Model A Basic #1004,503,2215,394,3.8
IT-Udstyr Model A Deluxe #1005,119,1396,359,4.8
IT-Udstyr Model A Ultra #1006,674,1461,486,6.4
IT-Udstyr Model A Max #1007,737,1519,281,6.3
IT-Udstyr Model A Compact #1008,305,3294,693,5.6
IT-Udstyr Model A Mini #1009,136,3472,598,5.3
IT-Udstyr Model A XL #1010,162,1275,461,6.8
IT-Udstyr Model A S #1011,123,3473,693,3.9
IT-Udstyr Model A M #1012,221,2351,418,5.8
IT-Udstyr Model A L #1013,707,1474,354,6.7
IT-Udstyr Model A XL #1014,428,2411,544,3.8
IT-Udstyr Model A XXL #1015,574,1694,358,4.3
IT-Udstyr Model A V1 #1016,305,1591,368,6.9
IT-Udstyr Model A V2 #1017,173,1572,332,7.3
IT-Udstyr Model A V3 #1018,245,1619,461,6.2
IT-Udstyr Model A MK2 #1019,740,2220,413,5.2
IT-Udstyr Model A MK3 #1020,591,3515,750,6.2
IT-Udstyr Model A Gen2 #1021,497,2043,373,5.2
IT-Udstyr Model A Gen3 #1022,745,891,349,5.4
IT-Udstyr Model A Sort #1023,689,1580,514,3.6
IT-Udstyr Model A Hvid #1024,474,2736,591,6.5
IT-Udstyr Model A Blå #1025,426,1727,487,5.4
IT-Udstyr Model A Rød #1026,442,1516,507,4.0
IT-Udstyr Model A Grøn #1027,466,1843,400,5.5
IT-Udstyr Model A Grå #1028,412,1644,547,4.5
IT-Udstyr Model B Pro #1029,188,3111,720,6.9
IT-Udstyr Model B Plus #1030,279,1724,472,4.2
IT-Udstyr Model B Premium #1031,701,2272,622,4.0
IT-Udstyr Model B Standard #1032,308,3303,742,6.2
IT-Udstyr Model B Basic #1033,558,2222,631,3.5
IT-Udstyr Model B Deluxe #1034,720,2492,649,5.5
IT-Udstyr Model B Ultra #1035,647,2002,560,5.7
IT-Udstyr Model B Max #1036,520,881,234,4.8
IT-Udstyr Model B Compact #1037,357,657,330,6.7
IT-Udstyr Model B Mini #1038,421,1067,413,4.4
IT-Udstyr Model B XL #1039,692,699,285,4.4
IT-Udstyr Model B S #1040,103,2291,417,6.9
IT-Udstyr Model B M #1041,448,1761,524,7.2
IT-Udstyr Model B L #1042,299,1825,477,3.8
IT-Udstyr Model B XL #1043,295,3044,694,4.1
IT-Udstyr Model B XXL #1044,549,1358,311,5.4
IT-Udstyr Model B V1 #1045,574,3137,651,3.6
IT-Udstyr Model B V2 #1046,404,2021,423,3.7
IT-Udstyr Model B V3 #1047,258,3417,696,3.7
IT-Udstyr Model B MK2 #1048,744,2773,687,5.0
IT-Udstyr Model B MK3 #1049,111,1744,354,4.2
IT-Udstyr Model B Gen2 #1050,582,3296,683,7.3
IT-Udstyr Model B Gen3 #1051,426,1921,364,6.4
IT-Udstyr Model B Sort #1052,195,1804,482,4.3
IT-Udstyr Model B Hvid #1053,686,2511,650,3.7
IT-Udstyr Model B Blå #1054,422,905,416,4.9
IT-Udstyr Model B Rød #1055,139,3471,643,4.3
IT-Udstyr Model B Grøn #1056,380,3180,744,5.2
IT-Udstyr Model B Grå #1057,136,1251,456,6.6
IT-Udstyr Model C Pro #1058,512,1503,520,5.6
IT-Udstyr Model C Plus #1059,500,2558,584,3.6
IT-Udstyr Model C Premium #1060,520,1228,442,3.6
IT-Udstyr Model C Standard #1061,121,741,232,3.5
IT-Udstyr Model C Basic #1062,186,2097,584,4.4
IT-Udstyr Model C Deluxe #1063,679,1214,355,5.6
IT-Udstyr Model C Ultra #1064,674,2669,640,7.2
IT-Udstyr Model C Max #1065,672,2064,418,6.9
IT-Udstyr Model C Compact #1066,562,1567,478,6.2
IT-Udstyr Model C Mini #1067,696,3185,768,4.5
IT-Udstyr Model C XL #1068,171,795,379,5.6
IT-Udstyr Model C S #1069,455,2326,481,4.8
IT-Udstyr Model C M #1070,263,3146,527,5.6
IT-Udstyr Model C L #1071,360,896,258,6.2
IT-Udstyr Model C XL #1072,135,1236,434,4.4
IT-Udstyr Model C XXL #1073,169,3022,664,4.8
IT-Udstyr Model C V1 #1074,206,2630,492,5.8
IT-Udstyr Model C V2 #1075,682,2649,676,6.5
IT-Udstyr Model C V3 #1076,514,2268,488,5.1
IT-Udstyr Model C MK2 #1077,330,3499,757,3.9
IT-Udstyr Model C MK3 #1078,147,1260,276,3.8
IT-Udstyr Model C Gen2 #1079,660,2002,580,4.6
IT-Udstyr Model C Gen3 #1080,401,1769,389,7.3
IT-Udstyr Model C Sort #1081,176,1247,259,6.6
IT-Udstyr Model C Hvid #1082,203,1370,422,7.2
IT-Udstyr Model C Blå #1083,155,1124,424,4.4
IT-Udstyr Model C Rød #1084,743,1380,345,4.7
IT-Udstyr Model C Grøn #1085,595,2323,498,4.9
IT-Udstyr Model C Grå #1086,97,3503,623,6.0
IT-Udstyr Type 1 Pro #1087,328,2385,469,6.9
IT-Udstyr Type 1 Plus #1088,153,1027,378,3.8
IT-Udstyr Type 1 Premium #1089,349,2172,423,7.0
IT-Udstyr Type 1 Standard #1090,466,2340,411,7.0
IT-Udstyr Type 1 Basic #1091,609,2798,689,5.8
IT-Udstyr Type 1 Deluxe #1092,180,2030,440,6.1
IT-Udstyr Type 1 Ultra #1093,285,3488,654,3.6
IT-Udstyr Type 1 Max #1094,376,2320,435,4.7
IT-Udstyr Type 1 Compact #1095,497,1041,384,6.3
IT-Udstyr Type 1 Mini #1096,683,2177,511,6.4
IT-Udstyr Type 1 XL #1097,670,3562,823,4.6
IT-Udstyr Type 1 S #1098,252,1158,381,5.0
IT-Udstyr Type 1 M #1099,506,3593,789,4.2
IT-Udstyr Type 1 L #1100,571,1197,256,6.8
IT-Udstyr Type 1 XL #1101,690,2466,634,4.3
IT-Udstyr Type 1 XXL #1102,495,2041,364,6.2
IT-Udstyr Type 1 V1 #1103,650,1713,514,4.2
